792.4500122,296992,19478,0,65.58425816,167497,0.1163,105408,16756,6.290761518,139036,0.140093213,15629,268,47527,90272,124,4672,29816,6100,1044.728
789.789978,28621,1241.007,0,43.36001537,8599.787,0.1443,4239.573,4690.32,0.903898455,-1787.538,-0.694254891,287.68,3631.916,6330.115,10635.676,150.961,671.707,2357.792,297.397,1044.728
778.0100098,292581,16348,0,55.87512518,147461,0.1109,90114,19310,4.666701191,120331,0.13585859,13909,491,40146,74989,104,3303,24384,5024,650.739
755.5700073,24836,4245.902,0,170.9575616,17775.795,0.2389,1989.088,680.938,2.921100012,13667.134,0.310665133,425.737,572.239,1693.366,2890.702,1.551,1192.247,677.456,133.801,859
749.8699951,477000,2371,0,4.970649895,83402,0.0284,45781,43816,1.044846631,19285,0.122945294,6561,11461,42441,135987,484,1425,10715,6649,1044.728
741.9099731,30208,1160.241,0,38.40840175,8102.349,0.1432,3970.294,4712.873,0.842436026,-1701.39,-0.681937122,247.872,3421.635,5891.707,10187.34,153.007,642.371,2222.97,269.919,650.739
734.9099731,90825,2030.4,0,22.35507845,20401.6,0.0995,4591.4,4594.4,0.999347031,3610.8,0.562313061,2130.1,1804.1,6309.9,18361.7,340.4,488.8,3472.7,581.4,1150
719.1500244,140275,3908.458,0,27.86282659,15892.152,0.2459,11652.387,3527.867,3.302955298,6027.188,0.648471227,3026.43,2689.294,2748.619,14626.15,208.597,462.346,4782.423,300.4,1046.051
714.1799927,89134,369.777,0,4.148551619,27006.841,0.0137,2609.155,2024.75,1.288630695,10633.988,0.034773126,860.219,0,23154.41,5998.545,433.216,146.151,2553.168,1429.7,1150
711.3699951,27353,1280.869,0,46.82736811,9259.781,0.1383,4611.255,4766.301,0.967470372,-1428.377,-0.896730345,280.733,3882.086,6873.193,10888.676,159.329,644.62,2403.12,323.051,1162.779
707.3800049,267448,10737,0,40.14612186,93798,0.1145,60454,14337,4.216642254,71715,0.149717632,8585,505,17697,50175,84,2598,16258,2872,781.275
706.2299805,67029,2164.685,0,32.29475302,11718.707,0.1847,4504.262,5874.615,0.766733139,-66.423,-32.58938922,385.674,3686.383,8930.516,13327.563,151.769,617.229,3245.385,328.217,1046.051
705.6699829,959854,721,0,0.751155905,52148,0.0138,26717,14248,1.875140371,22225,0.032440945,1912,4101,29893,31536,691,292,4506,2322,1150
684.5100098,31013,445.374,0,14.36088092,2546.285,0.1749,878.479,245.71,3.575267592,2012.369,0.221318257,51.327,15.332,1720.66,4108.269,0,268.929,828.25,110.474,581.872
675.8900146,471000,596,0,1.265392781,65444,0.0091,36474,33899,1.075960943,13384,0.044530783,4400,10243,30053,107006,459,950,7304,5128,650.739
668.4500122,56720,481.652,0,8.491748942,3523.227,0.1367,2269.48,763.42,2.972780383,2487.117,0.193658762,768.928,0,587.703,3758.144,0,51.74,632.038,83.146,1046.051
667.2399902,394048,7725,0,19.60421065,95123,0.0812,20113,13436,1.496948497,40793,0.189370725,8945,5051,14124,39211,536,1109,12936,2592,1046.051
665.4099731,412874,6736,299,15.59071291,75570,0.0891,16586,6281,2.640662315,24989,0.269558606,2071,1297,6132,27450,1640,29,14747,5942,1150
661.5499878,193731,3222,0,16.63130836,144206,0.0223,3906,9875,0.395544304,23805,0.135349716,2201,0,67210,48417,3848,626,18324,9704,1150
658.460022,84562,744.845,0,8.808270855,2437.203,0.3056,955.655,763.579,1.251546991,689.992,1.079498023,425.584,269.03,1341.159,3215.36,29.808,157.81,1041.652,104.476,1046.051
657.1799927,78710,772.02,0,9.808410621,5942.11,0.1299,2494.075,1924.071,1.296248943,3622.714,0.213105423,897.198,230.23,1562.284,3952.584,0,240.403,1085.233,108.729,1150
651.9699707,172741,4654,0,26.94206934,142491,0.0327,3566,12458,0.286241772,14050,0.331245552,2579,0,69869,51682,4037,1068,20200,9345,1046.051
649.1099854,199000,230,0,1.155778894,10798,0.0213,5220,4949,1.054758537,3695,0.062246279,1402,0,2182,5896,28,19,663,388,1046.051
645.9000244,259876,9737,0,37.46786929,72574,0.1342,52758,8913,5.919219118,58145,0.167460659,6172,0,14400,37905,58,2589,14079,1837,1354.285
643.2199707,283167,2062,0,7.281921975,15516,0.1329,5157,2655,1.942372881,9869,0.208937076,653,0,2500,9613,29,494,2879,363,1046.051
636.2800293,55249,680,0,12.30791508,19315,0.0352,7030,1663,4.22730006,-2916,-0.233196159,861,1185,1499,4798,1059,34,2017,253,1046.051
631.5200195,106851,8075.3,0,75.57533388,25434.8,0.3175,14014.9,3932.5,3.563865226,18768.8,0.430251268,6036.5,1951.3,4880.3,16071.7,57.3,1250.5,9233.5,281.1,1046.051
620.3900146,49871,1419.566,0,28.46475908,6569.742,0.2161,5682.375,1461.726,3.887441969,3951.63,0.359235556,367.512,0,232.483,5260.956,62.064,337.832,1935.86,65.141,781.275
619.5200195,25579,375.972,0,14.69846358,2549.805,0.1475,1006.723,689.673,1.459710616,547.28,0.686982897,528.615,255.39,1177.378,2725.053,32.785,198.25,689.871,75.958,1335.855
619.1099854,31898,1069.744,0,33.53639727,7517.858,0.1423,3580.612,4541.094,0.788491055,-1621.857,-0.659579729,200.899,3140.1,5500.674,9475.313,170.4,592.97,2081.248,251.267,581.872
618.8499756,54436,699,0,12.84076714,18395,0.038,6960,1616,4.306930693,-3972,-0.175981873,756,1283,1395,5103,1029,87,2111,283,1150
612.6900024,82447,725.983,0,8.805450774,5506.703,0.1318,2143.41,1250.937,1.713443603,-163.467,-4.441159378,664.511,0,397.342,2043.544,159.614,132.153,1196.761,92.28,1046.051
